scenario,question_1,answer_1,question_2,answer_2
"Yesterday you were sitting there on the black chair, today you are sitting here on the blue chair. If now was then and then was now.",Where were you sitting then?,Blue,Where would you be sitting now?,Black
"Yesterday you were sitting there on the black chair, today you are sitting here on the blue chair. If now was then and then was now.",Where would you be sitting now?,Black,Where were you sitting then?,Blue
I am sitting here on the blue chair and you are sitting there on the black chair. If I was you and you were me and if here was there and there was here.,Where would I be sitting?,Blue,Where would YOU be sitting?,Black
I am sitting here on the black chair and you are sitting there on the blue chair. If I was you and you were me and if here was there and there was here.,Where would I be sitting?,Black,Where would YOU be sitting?,Blue
I am sitting here on the blue chair and you are sitting there on the black chair. If I was you and you were me and if here was there and there was here.,Where YOU be sitting?,Black,Where would I be sitting?,Blue
I am sitting here on the black chair and you are sitting there on the blue chair. If I was you and you were me and if here was there and there was here.,Where would YOU be sitting?,Blue,Where would I be sitting?,Black
"Yesterday I was sitting there on the blue chair, today I am sitting here on the black chair. If here was there and there was here and If now was then and then was now.",Where would I be sitting then?,Blue,Where would I be sitting now?,Black
"Yesterday I was sitting there on the blue chair, today I am sitting here on the black chair. If here was there and there was here and If now was then and then was now.",Where would I be sitting now?,Black,Where would I be sitting then?,Blue
"Yesterday I was sitting there on the black chair, today I am sitting here on the blue chair. If here was there and there was here and If now was then and then was now.",Where would I be sitting then?,Black,Where would I be sitting now?,Blue
"Yesterday I was sitting there on the black chair, today I am sitting here on the blue chair. If here was there and there was here and If now was then and then was now.",Where would I be sitting now?,Blue,Where would I be sitting then?,Black
"Yesterday you were sitting there on the blue chair, today you are sitting here on the black chair. If here was there and there was here and If now was then and then was now.",Where would you be sitting then?,Blue,Where would you be sitting now?,Black
"Yesterday you were sitting here on the blue chair, today you are sitting here on the black chair. If here was there and there was here and If now was then and then was now.",Where would you be sitting now?,Black,Where would you be sitting then?,Blue
"Yesterday you were sitting there on the black chair, today you are sitting here on the blue chair. If here was there and there was here and If now was then and then was now.",Where would you be sitting then?,Black,Where would you be sitting now?,Blue
"Yesterday you were sitting there on the black chair, today you are sitting here on the blue chair. If here was there and there was here and If now was then and then was now.",Where would you be sitting now?,Blue,Where would you be sitting then?,Black
